filename;prompt;expected_transcription;category;subcategory;sub-subcategory;word-level_contrasts;indentifier;expected_word_count;expected_syllables;stress position
58;In a store, you and Gemma see the woman whom Gemma�s ex-boyfriend cheated on her with. You just came out of the rain and are holding umbrellas. You tell your mother what happened next:;Gemma hit the woman with the umbrella.;Disambiguation;0;0;0;Disambiguation;7;11;
59;Your brother loves miniature landscapes. When asked what you gave him for Christmas, you say:;I gave Rory a toy factory.;Disambiguation;0;0;0;Disambiguation;6;9;
60;You and your neighbour are talking about her fruit trees. You say:;Are you growing lemons or limes?;Coordination;0;0;0;Coordination;6;8;
61;You and your friend are talking about home decoration. You can�t hear her well and ask her to clarify what she just said:;Did you say mellow or yellow?;Coordination;0;0;0;Coordination;6;8;
62;You have two friends, John and Hannah. John is a nice person but not very ambitious, while Hannah is always thinking of ways to improve the city you live in. Now your neighbour tells you that John is running for mayor. You express your surprise:;John is running for mayor?;Highlighting;0;0;0;Highlighting;5;7;
63;You are travelling by train, and an elderly lady has just entered the car. You offer her your seat:;Would you like to take this seat?;Politeness;0;0;0;Politeness;7;7;
64;You work at a hotel as a receptionist. A man comes in wanting to book a room. You hand him a form that he should fill in:;Would you fill out this form, please?;Politeness;0;0;0;Politeness;7;7;
65;Hannah is late meeting up with Sam. When she finally arrives, Sam says:;Right on time again, Hannah.;Sarcasm;0;0;0;Sarcasm;5;7;
66;Molly used to have long hair, but she has just cut it very short. Simon doesn�t like the way Molly looks now. He is talking to his friend Bill and says:;Well Mollys new hairstyle looks amazing.;Sarcasm;0;0;0;Sarcasm;6;10;

